;text;label
0;NEW YORK (Reuters) - Donald Trumps support has surged and he is now running nearly even with Democrat Hillary Clinton among likely U.S. voters, a.;0.0
1;JERUSALEM (Reuters) - The Israeli military said on Thursday that an aircraft and a tank had targeted two posts belonging to militants in the Gaza.;0.0
2;Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST  9 PM EST every Wednesday..;0.0
3;We know that the BP Deepwater Horizon oil spill was one of the worst manmade disasters in history. Scientists are still desperately studying the.;0.0
4;The trend of young Muslim men targeting and attacking white non-Muslims continues world wide. A group of three Muslim men attacked strangers at the.;0.0
5;WASHINGTON (Reuters) - The White House said on Thursday it believed that Saudi Arabia would allow a blocked port in Yemen to open after President.;0.0
6;LIMA (Reuters) - Peru s center-right President Pedro Kuczynski is considering appointing Vice President Martin Vizcarra as his new prime minister in.;0.0
7;At around the 4:00 mark in the video, Maxine points out that Obama will become more aggressive in his second term. Waters suggests Obama s ability.;0.0
8;LONDON (Reuters) - Northern Ireland s main political parties pointed on Tuesday to fresh obstacles to restoring a devolved power-sharing government.;0.0
9;syria syrian forces patrol the area of awijah as they advance in aleppos militantheld neighborhoods on october   photo by afp syrian army soldiers.;0.0
10;PAUL SPERRY SPOKE WITH LOU DOBBS ON HIS REPORT ABOUT OBAMA S SHADOW GOVERNMENT:Obama has two things going for him: The judiciary is his lethal.;0.0
11;BRUSSELS (Reuters) - The European Union s chief Brexit negotiator Michel Barnier said on Friday it was not possible to put a concrete figure on the.;0.0
12;KUALA LUMPUR (Reuters) - Malaysian authorities thwarted the hijacking of a Thai oil tanker on Thursday and arrested 10 suspected Indonesian pirates.;0.0
13;Donald Trump s Education Department is pathetic now that Betsy DeVos is in control, and this proves it.DeVos  first week as Secretary of Education.;0.0
14;CAIRO (Reuters) - Egypt said on Thursday its air force had hit 10 four-wheel-drive vehicles carrying arms, ammunition and contraband at Egypt s.;0.0
15;Sounds about right. Thank goodness for the new  hate crime  rules. I wonder if the same rules apply to Christians and churches? Didn t I hear.;0.0
16;Zinke and Brandyburg accompanied Spicer to the podium on Monday   where the White House Press Secretary announced that President Donald Trump was.;0.0
17;The Nazis see Donald Trump as their pathway back to power so they are joining his campaign in droves.It s not exactly a secret that white.;0.0
18;SEATTLE (Reuters) - Republican U.S. President Donald Trumps efforts to renegotiate or scrap longstanding global trade deals are not protectionist.;0.0
19;ADDIS ABABA (Reuters) - The speaker of Ethiopia s lower house of parliament submitted his resignation on Sunday, one of the highest-ranking.;0.0
20;trump and his supporters are fighting a rigged system the elite realize that their time is short image credits donaldjtrumpcom  at the third debate.;0.0
21;WASHINGTON (Reuters) - The top Democrat in the U.S. Senate warned President Donald Trump on Tuesday against any attempt to bypass Congress to.;0.0
22;(Reuters) - U.S. President Donald Trump approved a major disaster declaration on Sunday to help Florida recover from Hurricane Irma, Florida.;0.0
23;21st Century Wire asks Currently throughout the western media exists a major public relations push to raise the profile of supposed  NGO  in Syria.;0.0
24;White House Press Secretary Sean Spicer was completely humiliated by MSNBC s Hallie Jackson during Tuesday s White House briefing. Jackson wanted to.;0.0
25;VLADIVOSTOK, Russia (Reuters) - North Korea on Thursday pledged to take  powerful counter measures  to respond to U.S. pressure or any new sanctions.;0.0
26;PARIS (Reuters) - French far-left opposition party leader Jean-Luc Melenchon drew tens of thousands to a rally on Saturday against President.;0.0
27;WASHINGTON (Reuters) - U.S. Treasury Secretary Steven Mnuchin told lawmakers on Thursday that he has some doubts that what are known as alternate.;0.0
28;WASHINGTON (Reuters) - Personnel from the U.S. Justice Departments civil rights division will be deployed to polling sites in 28 states to monitor.;0.0
29;The Obama family continues to rack up huge bills on transportation alone when they take the thinly veiled humanitarian vacations at the taxpayer s.;0.0
30;It s come to this.On Tuesday, MSNBC announced that it would be organizing a live,  prime time  event exclusively starring Donald Trump and hosted by.;0.0
31;WASHINGTON (Reuters) - Despite a major setback in the U.S. Senate, President Trump said on Wednesday that the Republican healthcare bill was moving.;0.0
32;WASHINGTON (Reuters) - An intense and sustained push by U.S. evangelicals helped drive President Donald Trump s decision to recognize Jerusalem as.;0.0
33;Yet another Republican is leaving the party in protest of Donald Trump.Donald Trump is doing more to destroy the Republican Party from within than.;0.0
34;Looters in Texas are boldly walking into businesses affected by the flooding and literally stealing everything off the shelves. It s hard to fathom.;0.0
35;HARTFORD (Reuters) - Connecticut, home to hedge fund billionaires alongside cities mired in poverty, is racing against the clock to pass a budget or.;0.0
36;LUXEMBOURG (Reuters) - Spain s finance minister on Monday blamed the Catalan government for companies moving their headquarters out of the region,.;0.0
37;WASHINGTON (Reuters) - Democrat Hillary Clinton, seeking to dampen Republican presidential candidate Donald Trumps growing appeal with working-class.;0.0
38;Abortion became a legal procedure in 1973. According to the Supreme Court, it s about a woman s right to privacy. More than 40 years later, a.;0.0
39;A petition calling on the Obama administration to investigate alleged voter suppression and voter fraud in the Arizona primary has received 100,000.;0.0
40;A member of Donald Trump s presidential transition team has been kicked aside after he was caught spreading a dangerous conspiracy theory promoted.;0.0
41;PARIS (Reuters) - One French soldier from the 13th regiment of para-troopers was killed on Saturday morning while fighting in the Iraq-Syria region,.;0.0
42;TAMPA, Fla. (Reuters) - President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might.;0.0
43;Our military men and women never had to wonder if President George W. Bush cared about them Former Press Secretary for George W. Bush, Dana Perino,.;0.0
44;BRUSSELS (Reuters) - The European Commission said a newspaper report that Jean-Claude Juncker had disparaged Theresa May s  despondent  demeanor.;0.0
45;MADRID (Reuters) - The Catalan parliament s speaker was released from prison on Friday but the terms she agreed to seem likely to prevent her.;0.0
46;Some great news on the carbon emissions rule! The Supreme Court agreed to stop enforcement until legal challenges are resolved. This power grab is.;0.0
47;While both of her parents travel around the country giving commencement speeches at colleges and universities about the oppression and.;0.0
48;WASHINGTON (Reuters) - President Donald Trump said on Wednesday that under his tax reform plan, wealthy Americans would not gain and might have to.;0.0
49;A rainbow flag raised to honor the LGBT victims in the worst mass shooting in American history is in danger of being removed from the Hillsborough.;0.0
50;LONDON (Reuters) - Iraq s Kurdistan has shut down some 350,000 barrels per day (bpd) of production from major fields Bai Hassan and Avana due to.;0.0
51;You will not believe this whopper! Hillary Clinton is dealing in vague answers that are really downright lies. She claims in an interview that it.;0.0
52;OTTAWA (Reuters) - Canadian Prime Minister Justin Trudeau on Monday reshuffled his cabinet to put more emphasis on helping aboriginal people, who.;0.0
53;ANKARA (Reuters) - At least 530 people were killed in Iran s deadliest earthquake in more than a decade, state news agency IRNA reported on Tuesday,.;0.0
54;ROME (Reuters) - Russian Foreign Minister Sergei Lavrov said on Friday that a U.S. threat to destroy North Korea in the event of a war was  a.;0.0
55;After Donald Trump s Saturday morning tweetstorm, we have no choice but to wonder what, exactly, he is worried about. Ever since the  pee pee.;0.0
56;DUBAI (Reuters) - Saudi King Salman has ordered that women be allowed to drive, ending a restriction seen by rights activists as an emblem of the.;0.0
57;(Reuters) - The U.S. Defense Security Cooperation Agency, which implements foreign arms sales, on Wednesday announced sales of $41.93 billion for.;0.0
58;There are so many reasons for this little coward to leave America and travel abroad for the duration of his term. Does he have knowledge of an.;0.0
59;CHARLOTTE, North Carolina - Donald Trumps promise to revive small town America faces a tough challenge in an economy that for decades has been wired.;0.0
60;ISMAILIA, Egypt (Reuters) - The mosque was packed with hundreds of worshippers for Friday prayers in Egypt s North Sinai when gunmen in.;0.0
61;BEIJING/TAIPEI (Reuters) - China on Tuesday sentenced Taiwanese rights activist Li Ming-che to five years in prison for subverting state power,.;0.0
62;ISLAMABAD (Reuters) - Pakistan s former prime minister Nawaz Sharif attended an anti-corruption trial on Friday ordered by the country s Supreme.;0.0
63;BAGHDAD (Reuters) - Iraqi federal and Kurdish regional judiciaries are violating the  rights of Islamic State suspects with flawed trials, arbitrary.;0.0
64;James O Keefe s Project Veritas reporters went undercover at CNN to investigate the #VeryFakeNews network to determine the motivation behind CNN s.;0.0
65;Barbra Streisand was an Obama sycophant and one of the corrupt Clinton s most loyal fans. She is also part of the Hollywood liberal  resistance.;0.0
66;For many of us, electing President Obama into office was an amazing thing to be a part of, spectacular to witness, and will go down in history..;0.0
67;WASHINGTON (Reuters) - The White House said on Thursday that there was no need to repair the relationship between President Donald Trump and.;0.0
68;On Friday, Donald Trump gave a speech to the NRA after picking up their endorsement ahead of the general election (they don t care if he has a week.;0.0
69;WASHINGTON (Reuters) - Democrats in Congress, including party Senate leader Harry Reid, asked the FBI to investigate concerns that the Russian.;0.0
70;TOKYO (Reuters) - Takuya Yokota vividly remembers clutching a flashlight and running to the ocean with his mother and twin brother to look for his.;0.0
71;dr david duke and prof kevin macdonald on dukes overwhelming victory in the debate november   at  am dr david duke and prof kevin macdonald on dukes.;0.0
72;Are you, or is someone you know, a legally blind patriot who really wants to exercise their Second Amendment rights? Well, move on down to Georgia.;0.0
73;ANKARA (Reuters) - The United States is Iran s  number one enemy  and Tehran will never succumb to Washington s pressure over a multinational.;0.0
74;;0.0
75;BELFAST (Reuters) - Northern Ireland s political parties are rapidly running out of time to restore a devolved power-sharing government, Britain s.;0.0
76;Two completely peaceful protesters were attacked and forcefully escorted from a Donald Trump rally on Monday after loyal supporters realized their.;0.0
77;Nobody can accuse the GOP of having it all together, but they are pretty good at having their press releases done ahead of time. Unfortunately for.;0.0
78;NEW YORK (Reuters) - Officials from so-called sanctuary cities met in New York on Tuesday to discuss their response to threats from the Trump.;0.0
79;Philadelphia s archbishop Charles Caput is accused of using mafia-like tactics against a state lawmaker who stands in support of child victims of.;0.0
80;Walmart was apologizing on Monday after an appalling description of a product by a third-party vendor made its way onto the retail giant s.;0.0
81;In response to the establishment media s contrived  fake news  crisis designed to marginalise independent and alternative media sources of news and.;0.0
82;WASHINGTON (Reuters) - U.S. President Donald Trumps push for a major military buildup suffered a setback on Thursday when the House of.;0.0
83;James Comey testified this morning that Loretta Lynch told his to refer to the Clinton email investigation as a  matter  and not an.;0.0
84;Lady Gaga and Julianne Moore are speaking out after the horrific terror attack that left at least 58 people dead and 515 injured in Las Vegas on.;0.0
85;home  badge abuse  cop fired after shooting own yearold daughter at a halloween party cop fired after shooting own yearold daughter at a halloween.;0.0
86;The first official meeting between Trump and Russian president Vladimir Putin was captured on what appears to be a cellphone recording   and it s.;0.0
87;It s no secret that Russia was behind the election hacks of Donald Trump s political opponents with the express goal of getting Donald Trump elected.;0.0
88;JERUSALEM (Reuters) - The Israeli military said it was reinforcing troops deployed in the occupied West Bank on Thursday as Palestinians protested.;0.0
89;Well this is a peculiar thing indeed! Paul Ryan, leading member of the Ayn Rand cult of hating the poor, has had a change of heart!Via Raw Story:.;0.0
90;yemen this still shows abdulmalik alhouthi the leader of yemens houthi ansarullah movement delivering a televised speech file photo the leader of.;0.0
91;Republican lawmakers love using the Bible to dictate their policies. They especially love using it to justify pushing spending cuts to social.;0.0
92;WASHINGTON (Reuters) - Vincent Viola, an Army veteran and founder of a high-speed trading firm nominated by U.S. President Donald Trump to be.;0.0
93;WASHINGTON (Reuters) - As President Barack Obama unveiled his Supreme Court nominee on Wednesday, a carefully crafted operation to sell his choice.;0.0
94;Unimaginable unforgivable It s not the sort of email the infection control director of a veterans hospital wants to find in their inbox   a message.;0.0
95;MOSCOW (Reuters) - The Kremlin said on Thursday it hoped President Vladimir Putin and President-elect Donald Trump would get along and that there.;0.0
96;;0.0
97;John Dean knows something about corruption. He was the White House Council for Richard Nixon during the Watergate scandal. He was even prosecuted.;0.0
98;At a press conference on Tuesday, President Obama could barely hide his frustration towards the would be obstructionists in the Senate who say they.;0.0
99;;0.0
100;RANCHO MIRAGE, Calif. (Reuters) - President Barack Obama will not rush through a Supreme Court choice to replace Justice Antonin Scalia this week.;0.0
101;BEIJING (Reuters) - Chinese President Xi Jinping and U.S. President Donald Trump on Saturday discussed “global hot-spot issues” on the sidelines of.;0.0
102;Tomi Lahren literally thinks the beating of a white teen in Chicago is the equivalent of nine black churchgoers who were MURDERED in Charleston,.;0.0
103;When WWII veteran and Pearl Harbor resident, Harold Estes wrote this letter, he was a retired Master Chief Boatswains Mate. He died on May 7, 2011..;0.0
104;There have been many articles written about George Soros and his collectivist activism. Soros is a business magnate, investor, philanthropist, and.;0.0
105;As they say, desperate times call for desperate measures, and as all the right-wing lunatics of the Republican party seem to be drifting towards.;0.0
106;(Reuters) - Legal advocacy groups seeking to challenge President Donald Trump in court over alleged conflicts of interest said filing lawsuits is.;0.0
107;WASHINGTON - President Barack Obama took aim on Tuesday at Republican presidential front-runner Donald Trump and accused critics of playing into the.;0.0
108;ISLAMABAD (Reuters) - U.S. president-elect Donald Trump offered to help solve Pakistans problems and praised Prime Minister Nawaz Sharif as a.;0.0
109;Of course tomorrow morning, the Democrat Party will put their heads together and after hours of damage control, they will tell Americans.;0.0
110;WASHINGTON (Reuters) - President Donald Trump on Wednesday dropped a U.S. commitment to a two-state solution to the Israeli-Palestinian conflict,.;0.0
111;BOGOTA (Reuters) - Colombia s next three governments must comply with a 2016 peace deal signed with the Marxist FARC rebel group, the Constitutional.;0.0
112;SEOUL (Reuters) - A North Korean court sentenced two South Korean journalists and their publishers to death for  seriously insulting the dignity  of.;0.0
113;by ike mclean  november    crazy left  vice presidentelect mike pence was attending the broadway musical hamilton on friday night when the cast.;0.0
114;DETROIT (Reuters) - Republican presidential candidate Donald Trump stepped up his bid to win over minority voters by addressing a largely black.;0.0
115;ADDIS ABABA (Reuters) - At least 61 people have been killed in clashes between different ethnic groups in Ethiopia s Oromiya region, officials said,.;0.0
116;WASHINGTON/BRUSSELS (Reuters) - U.S. and European officials will discuss airline security issues at a meeting in Brussels next week, including.;0.0
117;WASHINGTON (Reuters) - The Central Intelligence Agency thought for months that it had mistakenly shredded a massive U.S. Senate report on its use of.;0.0
118;whos really to blame for the corrupting influence of money in washington dc november   walter williams microsoft cofounder bill gates having a net.;0.0
119;On Thursday, the U.K. voted to leave the European Union, and, of course, conservatives here in the U.S. rejoiced because they see it as a move for.;0.0
120;The Women s Convention in Detroit brings to mind the stereotypical liberal female who s angry and bitter:The Detroit Free Press published photo.;0.0
121;Saturday Night Live is having a high old time ruthlessly mocking the governmental train wreck that is the fledgling, incompetent Trump.;0.0
122;WASHINGTON (Reuters) - Donald Trump was not in the room during U.S. President Barack Obamas final State of the Union speech, but the Republican.;0.0
123;WASHINGTON (Reuters) - U.S. PresidentDonald Trumprepeatedly urged senior Senate Republicans over the summer to end the Senate Intelligence.;0.0
124;isaac davis the months long dakota access keystone xl pipleine protest at the standing rock indian reservation by native americans and those.;0.0
125;A so-called  pro-life  Republican has yet again proven the entire concept of being  pro-life  is a total fraud   this time, with her comments on the.;0.0
126;;0.0
127;Virginia Senator Tim Kaine has been chosen by Hillary Clinton as her running mate in the 2016 presidential election. The decision was announced on.;0.0
128;VIENTIANE (Reuters) - U.S. President Barack Obama hit back at Donald Trump on Thursday for criticizing his foreign policy record, saying the.;0.0
129;Eric Holder in a skirt Obama s Department of Justice is working on  more than a dozen  new gun control regulations it plans to begin implementing.;0.0
130;MEXICO CITY (Reuters) - Mexicans packed churches on Sunday to pray for the victims of the country s deadliest quake in 32 years as rescue teams.;0.0
131;HARARE (Reuters) - When Zimbabwean leader Robert Mugabe sacked his vice president in front of 12,000 baying party members in 2014, Emmerson.;0.0
132;(Reuters) - The U.S. Air Force has awarded Lockheed Martin Corp and Raytheon Co separate $900 million contracts to continue work on a replacement.;0.0
133;BRASILIA (Reuters) - Brazil s top prosecutor on Friday charged six lawmakers from President Michel Temer s Brazilian Democracy Movement Party (PMDB).;0.0
134;UNITED NATIONS (Reuters) - The United Nations Security Council is due to vote on Friday on a U.S.-drafted resolution that seeks to toughen sanctions.;0.0
135;NEW DELHI (Reuters) - The Indian capital declared a pollution emergency and banned the entry of trucks and construction activity as a toxic smog.;0.0
136;SEOUL (Reuters) - A South Korean fishing boat capsized off the country s western coast on Sunday after it collided with a refueling vessel, killing.;0.0
137;Oops! Hillary and her race-baiting campaign team are NOT going to want the Black community to see this video Donald Trump doesn t want to give the.;0.0
138;when stalinist monsters bestow their blessing november   humberto fontova its hillarys hourthe only hope of defeating donald trump is hillary.;0.0
139;One of the many benefits of legalizing the sale of marijuana for recreational use is all the new tax revenue that states are taking in. Oregon is.;0.0
140;WASHINGTON (Reuters) - U.S. Vice President Joe Biden phoned Cypriot President Nikos Anastasiades to discuss work toward a settlement deal on the.;0.0
141;BERLIN (Reuters) - A housing crisis is spreading in Germany, the Federal Homelessness Association said on Tuesday, forecasting that 1.2 million.;0.0
142;YANGON/SHAMLAPUR, Bangladesh (Reuters) - Myanmar said on Wednesday it was negotiating with China and Russia to ensure they block any U.N. Security.;0.0
143;(Reuters) - The U.S. Congress is weighing military spending, healthcare and other major decisions tied to a temporary funding bill to keep the.;0.0
